job_id,group,attempt,gpu,formal_evidence,code_commit,config_ref,config_sha256,seed,restore_target_H,near_miss_tolerance_H,status,U,S,H,ZS,best_epoch,decision,artifact_ref,artifact_manifest_sha256
DIAG-V5-001,LEGACY_V5,1,0,false,4b259379d99c1a791442ea9e2fac0bb22b2411a9,configs/V5-069.yaml,a11706a51657bedec949f612aed2063dfe57807c5bc1a5c81219e4ce5b162aca,5,74.44,0.20,frozen,,,,,,,,
DIAG-V5-002,LEGACY_V5,2,1,false,4b259379d99c1a791442ea9e2fac0bb22b2411a9,configs/V5-069.yaml,a11706a51657bedec949f612aed2063dfe57807c5bc1a5c81219e4ce5b162aca,5,74.44,0.20,frozen,,,,,,,,
DIAG-V5-003,LEGACY_V5,3,0,false,4b259379d99c1a791442ea9e2fac0bb22b2411a9,configs/V5-069.yaml,a11706a51657bedec949f612aed2063dfe57807c5bc1a5c81219e4ce5b162aca,5,74.44,0.20,frozen,,,,,,,,
DIAG-V5-004,LEGACY_V5,4,1,false,4b259379d99c1a791442ea9e2fac0bb22b2411a9,configs/V5-069.yaml,a11706a51657bedec949f612aed2063dfe57807c5bc1a5c81219e4ce5b162aca,5,74.44,0.20,frozen,,,,,,,,
DIAG-V5-005,LEGACY_V5,5,0,false,4b259379d99c1a791442ea9e2fac0bb22b2411a9,configs/V5-069.yaml,a11706a51657bedec949f612aed2063dfe57807c5bc1a5c81219e4ce5b162aca,5,74.44,0.20,frozen,,,,,,,,
DIAG-DR-001,DYNAMIC_7511,1,0,false,a884fea429a302fecc42ba8cddf9e6e66f5d07c8,configs/DR-095.yaml,aec5ed6aa4c9ec872cd39383af5796b8daefde93d109c387b12df9363ca6953e,5,75.11,0.20,frozen,,,,,,,,
DIAG-DR-002,DYNAMIC_7511,2,1,false,a884fea429a302fecc42ba8cddf9e6e66f5d07c8,configs/DR-095.yaml,aec5ed6aa4c9ec872cd39383af5796b8daefde93d109c387b12df9363ca6953e,5,75.11,0.20,frozen,,,,,,,,
DIAG-DR-003,DYNAMIC_7511,3,0,false,a884fea429a302fecc42ba8cddf9e6e66f5d07c8,configs/DR-095.yaml,aec5ed6aa4c9ec872cd39383af5796b8daefde93d109c387b12df9363ca6953e,5,75.11,0.20,frozen,,,,,,,,
DIAG-DR-004,DYNAMIC_7511,4,1,false,a884fea429a302fecc42ba8cddf9e6e66f5d07c8,configs/DR-095.yaml,aec5ed6aa4c9ec872cd39383af5796b8daefde93d109c387b12df9363ca6953e,5,75.11,0.20,frozen,,,,,,,,
DIAG-DR-005,DYNAMIC_7511,5,0,false,a884fea429a302fecc42ba8cddf9e6e66f5d07c8,configs/DR-095.yaml,aec5ed6aa4c9ec872cd39383af5796b8daefde93d109c387b12df9363ca6953e,5,75.11,0.20,frozen,,,,,,,,
